Date,Open,High,Low,Close,Adj Close,Volume
2010-1-14,62.099998,62.84,61.75,61.98,49.833405,6224100
2010-1-15,61.450001,61.669998,60.009998,60.119999,48.667713,9397000
2010-1-19,59.759998,61.200001,59.349998,60.93,49.323421,8056500
2010-1-20,60.169998,60.43,59.310001,59.759998,48.376293,6953500
2010-1-21,59.5,59.900002,56.700001,56.849998,46.020622,13874900
2010-1-22,56.580002,57.540001,54.02,54.25,43.915901,14757600
2010-1-25,55.16,56.189999,54.830002,55.139999,44.63636,9777300
2010-1-26,54.990002,56.939999,54.599998,55.849998,45.211117,15218300
2010-1-27,52.959999,53.84,51.029999,53.439999,43.260189,34041000
2010-1-28,53.82,53.830002,51.200001,51.860001,41.981163,15623100
2010-1-29,52.779999,53.779999,52,52.240002,42.28878,13962000
2010-2-1,52.82,53.5,52.5,52.939999,42.855442,7159100
2010-2-2,53.48,53.720001,52.619999,53.549999,43.349243,7665400
2010-2-3,53.200001,54,53.099998,53.389999,43.219723,6340800
2010-2-4,52.799999,52.860001,51.380001,51.400002,41.608795,11640200
2010-2-5,51.209999,51.98,50.689999,51.75,41.892128,15988800
2010-2-8,51.639999,52.150002,50.5,50.779999,41.106899,8668700
2010-2-9,52.700001,54.25,52.549999,53.529999,43.333042,15494200
2010-2-10,53.650002,54.049999,52.450001,53.150002,43.025444,8581500
2010-2-11,53.099998,56.27,52.669998,56.150002,45.453968,16405500
2010-2-12,55.09,56.549999,54.610001,56.200001,45.494446,13447700
2010-2-16,56.77,57.240002,56.189999,57.119999,46.239201,7364200
2010-2-17,58.049999,58.349998,57.220001,57.5,46.546791,8450800
2010-2-18,57.150002,58.049999,56.849998,57.810001,46.797756,6844000
2010-2-19,57.59,58.48,57.310001,58.25,47.153938,8005800
2010-2-22,58.73,58.970001,58,58.029999,46.975842,6994800
2010-2-23,57.889999,58.380001,56.220001,56.66,45.86681,10311000
2010-2-24,56.669998,57.459999,56.459999,56.959999,46.109673,5810100
2010-2-25,55.330002,57.02,54.209999,56.790001,45.972057,9965600
2010-2-26,56.939999,57.240002,56.099998,57.049999,46.182526,6108500
2010-3-1,57.330002,58.389999,57.25,57.849998,46.830124,8398500
2010-3-2,58.279999,58.82,58.02,58.150002,47.072994,6583600
